976,251,-501
1506,473,-519
1344,391,-217
844,82,-474
962,94,-478
731,191,-274
1098,412,-304
750,163,-267
1372,421,-140
715,139,-304
814,71,-286
790,42,-183
734,94,-148
746,195,-152
889,324,-199
2298,1250,-595
1576,678,-465
1226,301,-302
848,169,-454
589,20,-185
2781,1543,-653
3173,1902,-687
2963,1795,-769
1354,-176,268
537,-2,-132
800,73,-110
3353,2041,-759
380,202,-62
3081,1840,-627
2943,1859,-673
2605,1579,-504
1435,751,-84
465,18,-71
1697,823,-310
759,432,-8
679,102,-120
534,76,-78
3289,1892,-655
3538,2125,-754
2763,1756,-564
1036,146,-112
3790,2376,-741
4158,2383,-776
3256,1925,-656
1435,715,-56
698,238,22
3737,2087,-855
3433,2060,-696
2476,1502,-582
2102,264,-1560
2083,407,-1312
2772,428,-2481
3304,1672,-1804
3395,1992,-1545
3383,2116,-1243
3443,2240,-1128
2908,1571,-1232
2784,1188,-1491
2529,676,-1625
3477,415,-1231
3597,2256,-678
1494,634,-504
3067,487,-1929
2743,657,-1370
1389,751,-233
1738,1105,-352
2416,1575,-730
933,175,-102
1722,406,-357
2994,1994,-594
2908,1840,-778
2275,441,-1322
1444,530,-386
2325,1464,-458
2712,1575,-703
2603,1383,-717
2300,1105,-839
2129,483,-983
2622,1492,-639
2692,1348,-1011
2964,2438,-484
2946,1937,-545
1949,713,-850
2125,483,-703
3396,2774,-557
2983,2473,-549
2228,901,-951
1913,592,-986
2986,2092,-480
2943,2364,-524
2617,1691,-614
1972,567,-1018
2700,2010,-706
2550,1167,-834
2709,848,-1207
1681,398,-752
1548,361,-609
3278,2081,-650
3392,2333,-695
2951,2040,-642
2266,747,-1232
3285,2375,-614
1625,397,-868
2596,487,-1628
2770,2063,-747
2330,394,-1253
3029,1806,-366
3191,2551,-691
3138,2467,-751
3203,2238,-622
2445,460,-1384
2897,395,-1371
2855,1631,-656
2476,409,-1293
2790,774,-1464
3337,2547,-767
3180,2378,-656
2991,2313,-667
3412,2382,-645
2580,1308,-933
2377,703,-1368
2464,471,-1357
1490,367,-592
2931,2238,-665
1316,128,-725
2779,1292,-782
2606,1328,-643
1946,1033,-605
1815,782,-593
1655,526,-835
1196,22,-651
1167,-4,-786
1707,596,-739
1441,449,-563
1111,68,-796
902,53,-604
1242,-24,-726
1176,235,-563
1154,194,-637
1115,169,-695
1158,64,-706
1143,232,-552
2111,493,-452
1369,321,-495
1051,26,-540
1006,82,-487
1803,388,-555
1111,197,-511
1255,311,-534
1181,272,-585
851,111,-315
869,125,-369
779,187,-342
1042,151,-301
789,10,-372
993,21,-108
836,17,-176
709,197,-193
2295,1159,-696
997,124,-408
570,30,-164
2551,1342,-451
5819,585,110
3403,1961,-642
3243,1805,-769
630,-3,-115
2701,1496,-384
3166,1827,-741
3027,1792,-609
869,324,-80
1044,46,-146
2926,1807,-468
3445,2122,-675
1796,977,-246
643,30,-82
532,25,-100
1063,146,-198
900,353,-84
3935,2398,-719
2257,1395,-424
650,42,-113
1536,617,-176
1865,937,-404
2930,1778,-614
1458,955,-196
2441,1479,-555
1143,519,-52
525,46,-69
3286,1786,-555
3166,1930,-668
2511,1423,-535
668,-15,-61
594,112,-130
2090,841,-552
3891,2248,-993
3933,2266,-866
2685,1551,-599
1699,479,-830
1139,363,-361
1538,113,-563
1446,176,-944
1970,511,-1435
3441,1894,-1695
2662,1103,-1158
2519,432,-1827
3150,1324,-1774
3150,1835,-1037
2819,1569,-1246
3398,1628,-1613
2599,629,-1648
2057,256,-1287
2326,308,-1624
3370,375,-2163
3572,800,-2034
3654,2352,-1180
3477,2425,-1114
3378,2276,-980
3291,2185,-998
2949,1731,-1068
2962,1370,-1380
