135,320,163,3506,1454,614,2974,2861,2523,-560
248,373,199,3521,1393,543,2969,2899,2497,-447
485,421,288,2954,1201,430,2954,2605,1971,-313
208,310,180,2248,961,379,2869,1950,1540,-321
346,461,528,1963,1179,530,2841,2173,1065,-475
233,257,258,1347,819,364,2786,1411,796,-377
491,633,701,2205,1941,1143,2902,2889,1022,-1228
235,367,219,3524,1537,587,2944,2962,2487,-567
197,362,196,3586,1488,596,2938,2961,2553,-536
233,318,180,3497,1452,542,2959,2867,2502,-509
198,283,178,2778,1175,477,2944,2330,1955,-430
270,370,245,2714,1135,457,2917,2364,1843,-362
145,262,198,2281,933,313,2869,1922,1587,-262
208,400,302,2105,1072,383,2896,2008,1346,-371
441,586,686,1956,1933,1158,2933,2709,848,-1296
266,487,323,2732,1548,769,2938,2666,1749,-783
141,358,175,3254,1411,556,2974,2713,2316,-533
181,346,184,3278,1391,569,2974,2732,2325,-521
140,256,95,2665,1088,403,2944,2151,1932,-380
181,390,367,2019,1005,429,2880,1975,1245,-353
488,458,483,1691,1054,582,2847,1993,841,-485
243,302,297,1442,1010,512,2759,1602,819,-558
402,477,605,1866,1702,1025,2891,2456,866,-1123
191,370,183,3569,1369,544,2949,2897,2553,-429
384,432,286,3658,1394,518,2944,3072,2532,-362
181,332,105,3222,1246,498,2984,2588,2333,-417
350,441,260,3338,1257,487,2938,2821,2299,-320
249,319,278,1452,833,487,2789,1544,835,-422
418,517,531,1749,1525,860,2852,2275,822,-939
740,861,866,2259,1969,1188,2912,3176,887,-1158
186,333,128,3047,1264,447,2944,2495,2189,-425
188,217,81,2095,721,159,2917,1638,1523,-104
162,273,173,2434,1012,421,2824,2054,1700,-356
477,513,613,1523,913,556,2721,1939,637,-355
241,442,188,3703,1389,544,2896,3023,2633,-399
250,360,230,3495,1417,524,2928,2899,2467,-450
470,506,308,3223,1362,524,2928,2874,2145,-405
157,269,101,2854,1127,445,2896,2294,2068,-391
132,245,167,2703,1062,400,2933,2198,1931,-334
186,272,172,2218,891,342,2907,1877,1537,-268
327,296,379,1448,972,509,2734,1653,772,-502
427,557,704,1964,2019,1186,2949,2742,850,-1370
214,425,200,3578,1430,565,2979,2963,2533,-465
179,283,140,3589,1378,510,2954,2841,2616,-442
323,371,268,3288,1240,544,2944,2770,2267,-366
265,444,380,2461,1195,427,2801,2334,1565,-377
313,335,387,1556,1005,409,2771,1720,862,-432
306,415,518,1704,1360,819,2728,2115,839,-839
440,516,629,2006,1741,1081,2721,2599,942,-1140
443,535,670,2055,1816,1102,2874,2687,953,-1178
377,596,600,2290,1758,1007,2907,2755,1185,-1046
347,462,314,3358,1468,582,2938,2958,2270,-497
273,395,235,3286,1374,605,2944,2807,2275,-501
50,61,12,697,253,61,2907,536,517,-56
150,265,131,2497,1113,445,2885,2098,1771,-443
166,284,173,2391,1099,469,2896,2073,1656,-451
261,417,428,2013,1122,474,2841,2080,1185,-435
302,320,367,1458,1069,544,2824,1695,779,-587
410,464,285,3658,1478,556,2984,3125,2516,-436
385,475,242,3745,1408,510,2938,3119,2614,-355
211,296,149,2899,1176,410,2974,2376,2070,-372
267,341,393,1641,1056,591,2806,1823,906,-560
273,360,377,1487,969,555,2753,1699,792,-510
388,482,466,1664,1334,844,2740,2106,801,-844
362,469,563,1769,1648,1036,2765,2352,816,-1128
447,550,688,1861,1842,1071,2912,2593,791,-1206
413,548,672,2039,1908,1185,2880,2726,930,-1292
197,413,211,3458,1445,659,2874,2919,2424,-555
199,346,188,3533,1459,581,2933,2908,2520,-523
333,405,193,3673,1424,541,2917,3023,2601,-430
139,344,159,3532,1379,487,2959,2831,2558,-423
205,299,151,2998,1151,459,2949,2437,2141,-364
182,279,115,2792,1083,386,2896,2248,2014,-330
341,531,511,2259,1217,500,2789,2366,1298,-416
421,506,605,1859,1664,925,2858,2433,865,-1031
368,505,644,1825,1696,1076,2818,2469,806,-1142
603,736,791,2086,1525,953,2812,2762,870,-799
231,443,246,3440,1441,584,2938,2928,2391,-492
294,368,208,3144,1358,457,2938,2664,2200,-441
200,295,176,3020,1318,483,2964,2519,2144,-481
182,308,156,2976,1280,448,2944,2464,2124,-447
135,263,142,2617,1135,411,2891,2168,1869,-411
307,373,333,1445,998,586,2771,1680,767,-567
363,365,299,1419,800,355,2753,1538,790,-306
624,799,682,2694,1657,904,2858,3111,1397,-761
514,635,484,3588,1451,698,2852,3312,2287,-418
206,328,155,3726,1431,534,2969,2975,2700,-451
192,335,193,3688,1371,478,3009,2942,2660,-371
245,329,179,3452,1306,525,2949,2798,2465,-405
246,365,251,2862,1109,424,2891,2429,1968,-295
165,332,199,2463,1085,398,2869,2127,1701,-366
400,467,593,1874,1507,878,2830,2355,902,-905
414,504,256,2346,968,355,2885,2168,1508,-223
290,506,257,3576,1588,651,2928,3112,2461,-589
265,361,330,1712,938,455,2765,1768,1009,-398
385,476,523,1761,1495,827,2885,2236,854,-908
443,540,616,2166,1920,1069,2835,2748,1072,-1222
261,493,291,2822,1418,611,2912,2625,1859,-589
157,352,190,3864,1515,599,2954,3115,2785,-507
194,301,197,3158,1258,485,2928,2593,2243,-407
238,366,112,2924,1209,425,2923,2418,2086,-395
429,555,640,2002,1832,1105,2880,2651,923,-1207
278,515,396,2501,1441,686,2923,2536,1534,-675
218,334,190,3072,1185,481,2858,2534,2168,-367
164,292,199,2721,1009,383,2912,2231,1916,-263
250,302,327,1533,858,396,2858,1598,892,-356
240,461,272,3578,1390,654,2863,3032,2472,-461
218,389,189,3848,1512,636,2949,3140,2750,-522
273,409,288,3264,1322,528,2938,2795,2240,-404
133,301,198,2866,1169,405,2907,2367,2032,-357
200,276,306,1430,930,636,2708,1584,800,-585
183,322,164,3691,1416,511,2960,2942,2676,-433
173,327,176,3348,1268,475,2955,2697,2403,-373
118,300,114,2937,1148,403,2934,2350,2133,-354
468,711,755,2053,1888,1069,2870,2826,872,-1144
188,334,226,2563,1122,471,2884,2234,1752,-407
346,452,358,2493,1114,436,2907,2337,1585,-324
281,393,386,1350,902,418,2773,1588,690,-397
220,412,292,3190,1386,544,2956,2769,2184,-472
194,352,226,2684,1203,440,2951,2330,1848,-416
201,417,387,1940,1041,431,2813,1968,1163,-382
198,301,414,1476,1065,601,2798,1714,783,-608
341,378,432,1362,910,527,2643,1654,654,-454
385,534,596,1735,1472,1005,2875,2320,759,-972
241,417,270,2901,1408,639,2907,2626,1948,-606
252,441,315,3216,1358,561,2866,2810,2180,-444
191,317,240,2488,1029,366,2884,2139,1704,-293
317,455,457,1974,1053,450,2832,2073,1126,-362
244,433,387,1432,1001,572,2768,1712,729,-536
424,606,626,1630,1216,732,2813,2171,679,-626
260,403,281,3284,1429,623,2929,2853,2249,-535
212,320,279,2473,1222,458,2911,2239,1655,-470
239,365,304,2252,1044,404,2866,2082,1461,-342
669,701,800,2064,1104,563,2875,2531,902,-281
304,355,414,1331,1070,598,2773,1676,639,-624
762,816,878,1910,1801,1164,2828,2910,614,-1102
403,550,586,1966,1749,972,2943,2536,946,-1094
446,659,476,3200,1506,733,2920,3106,1984,-553
246,377,284,3074,1432,614,2898,2719,2090,-577
559,654,500,3390,1504,619,2889,3223,2122,-434
465,538,370,2832,1216,470,2925,2638,1806,-323
253,426,469,1831,1093,453,2778,1986,1023,-423
786,845,917,2196,1962,1196,2818,3171,807,-1157
294,529,426,3276,1378,634,2916,2974,2136,-437
385,500,395,3283,1314,498,2925,2916,2168,-321
508,585,312,3601,1405,591,2925,3163,2410,-383
272,388,442,1443,933,477,2823,1692,730,-420
325,378,438,862,523,303,2660,1194,290,-150
356,532,628,1766,1676,963,2884,2403,779,-1070
171,289,220,2717,1058,439,2866,2269,1894,-325
408,521,555,1723,1545,1012,2851,2314,768,-1043
492,613,706,1832,1438,902,2798,2457,762,-813
207,391,273,3207,1366,546,2934,2751,2214,-466
255,436,277,3347,1446,595,2929,2898,2298,-512
242,344,253,2360,1012,391,2837,2094,1578,-311
307,462,466,2240,1076,389,2818,2225,1342,-285
470,589,518,1653,1185,607,2768,2088,765,-560
341,489,398,3286,1303,631,2880,2933,2160,-397
321,484,373,2739,1082,453,2837,2489,1768,-254
584,720,804,1961,1751,1138,2889,2801,744,-1090
426,682,552,2400,1506,794,2964,2709,1301,-719
304,357,291,3204,1332,552,2902,2755,2193,-446
229,403,265,2636,1063,388,2943,2297,1781,-275
339,500,334,3060,1213,481,2938,2709,2031,-306
225,362,293,2896,1227,458,2951,2511,1973,-378
368,453,331,3058,1270,497,2925,2715,2034,-365
332,377,365,2434,1087,418,2884,2261,1556,-320
320,548,544,2298,1318,635,2837,2473,1293,-546
352,574,648,1781,1722,1100,2889,2485,753,-1168
320,547,503,2189,1596,827,2893,2519,1199,-887
252,388,286,3171,1363,538,2929,2742,2173,-462
200,327,156,2602,1084,437,2880,2197,1822,-376
194,320,245,2448,1051,429,2880,2142,1659,-352
312,335,390,1306,772,427,2808,1509,659,-333
392,482,382,3251,1418,547,2938,2928,2145,-436
201,336,240,3154,1326,467,2951,2647,2212,-423
228,357,252,3007,1272,445,2947,2562,2084,-393
409,419,323,2812,1137,444,2951,2509,1852,-298
192,353,200,2636,1154,466,2947,2279,1819,-416
347,490,495,1750,1014,520,2866,1991,907,-402
454,583,640,1792,1698,1030,2832,2488,757,-1104
224,345,252,3212,1235,499,2938,2675,2242,-363
141,287,199,3238,1276,505,2934,2633,2314,-420
431,437,344,3376,1246,492,2956,2902,2275,-280
302,376,412,1564,1086,556,2837,1812,827,-560
373,340,379,1528,1066,504,2758,1755,819,-537
339,450,593,1770,1590,947,2847,2317,823,-1029
182,365,243,3399,1411,545,2934,2842,2391,-474
207,355,251,2827,1197,497,2916,2441,1938,-410
292,323,247,2563,1062,478,2842,2245,1726,-363
402,479,564,1607,1306,712,2752,2089,725,-725
