2861,2523,-560
2899,2497,-447
2605,1971,-313
1950,1540,-321
2173,1065,-475
1411,796,-377
2889,1022,-1228
2962,2487,-567
2961,2553,-536
2867,2502,-509
2330,1955,-430
2364,1843,-362
1922,1587,-262
2008,1346,-371
2709,848,-1296
2666,1749,-783
2713,2316,-533
2732,2325,-521
2151,1932,-380
1975,1245,-353
1993,841,-485
1602,819,-558
2456,866,-1123
2897,2553,-429
3072,2532,-362
2588,2333,-417
2821,2299,-320
1544,835,-422
2275,822,-939
2495,2189,-425
1638,1523,-104
2054,1700,-356
1939,637,-355
3023,2633,-399
2899,2467,-450
2874,2145,-405
2294,2068,-391
2198,1931,-334
1877,1537,-268
1653,772,-502
2742,850,-1370
2963,2533,-465
2841,2616,-442
2770,2267,-366
2334,1565,-377
1720,862,-432
2115,839,-839
2599,942,-1140
2687,953,-1178
2755,1185,-1046
2958,2270,-497
2807,2275,-501
2098,1771,-443
2073,1656,-451
2080,1185,-435
1695,779,-587
3125,2516,-436
3119,2614,-355
2376,2070,-372
1823,906,-560
1699,792,-510
2106,801,-844
2352,816,-1128
2593,791,-1206
2726,930,-1292
2919,2424,-555
2908,2520,-523
3023,2601,-430
2831,2558,-423
2437,2141,-364
2248,2014,-330
2366,1298,-416
2433,865,-1031
2469,806,-1142
2928,2391,-492
2664,2200,-441
2519,2144,-481
2464,2124,-447
2168,1869,-411
1680,767,-567
1538,790,-306
3312,2287,-418
2975,2700,-451
2942,2660,-371
2798,2465,-405
2429,1968,-295
2127,1701,-366
2355,902,-905
2168,1508,-223
3112,2461,-589
1768,1009,-398
2236,854,-908
2748,1072,-1222
2625,1859,-589
3115,2785,-507
2593,2243,-407
2418,2086,-395
2651,923,-1207
2536,1534,-675
2534,2168,-367
2231,1916,-263
1598,892,-356
3032,2472,-461
3140,2750,-522
2795,2240,-404
2367,2032,-357
1584,800,-585
2942,2676,-433
2697,2403,-373
2350,2133,-354
2234,1752,-407
2337,1585,-324
1588,690,-397
2769,2184,-472
2330,1848,-416
1968,1163,-382
1714,783,-608
1654,654,-454
2320,759,-972
2626,1948,-606
2810,2180,-444
2139,1704,-293
2073,1126,-362
1712,729,-536
2171,679,-626
2853,2249,-535
2239,1655,-470
2082,1461,-342
2531,902,-281
1676,639,-624
2536,946,-1094
3106,1984,-553
2719,2090,-577
3223,2122,-434
2638,1806,-323
1986,1023,-423
2974,2136,-437
2916,2168,-321
3163,2410,-383
1692,730,-420
2403,779,-1070
2269,1894,-325
2314,768,-1043
2457,762,-813
2751,2214,-466
2898,2298,-512
2094,1578,-311
2225,1342,-285
2088,765,-560
2933,2160,-397
2489,1768,-254
2801,744,-1090
2709,1301,-719
2755,2193,-446
2297,1781,-275
2709,2031,-306
2511,1973,-378
2715,2034,-365
2261,1556,-320
2473,1293,-546
2485,753,-1168
2519,1199,-887
2742,2173,-462
2197,1822,-376
2142,1659,-352
1509,659,-333
2928,2145,-436
2647,2212,-423
2562,2084,-393
2509,1852,-298
2279,1819,-416
1991,907,-402
2488,757,-1104
2675,2242,-363
2633,2314,-420
2902,2275,-280
1812,827,-560
1755,819,-537
2317,823,-1029
2842,2391,-474
2441,1938,-410
2245,1726,-363
2089,725,-725
2683,736,-1274
2841,2077,-697
3011,2048,-449
1262,507,-329
2382,671,-1019
2888,757,-1388
3003,1510,-1000
2877,2259,-565
2757,2305,-446
2718,2200,-447
2613,2126,-452
2377,1922,-431
2229,1256,-398
1832,773,-615
1751,783,-509
2564,1473,-768
2666,2205,-506
2573,2019,-397
2801,1950,-462
1988,867,-405
1678,597,-553
2678,784,-1279
2778,860,-1277
2640,2154,-495
2615,1580,-255
2244,1776,-426
2382,1681,-324
1816,800,-590
1540,634,-302
2594,844,-1149
2830,1980,-592
2830,2327,-388
2862,2241,-370
2253,1785,-321
1965,1128,-280
2577,808,-1145
2628,1004,-926
2950,2192,-391
2725,2176,-497
3008,2274,-316
2465,1975,-428
2424,1844,-401
1595,696,-557
2655,2082,-313
2195,1808,-250
2159,1241,-305
1609,810,-509
2140,547,-833
2654,907,-1310
2607,1827,-560
2758,2325,-439
2124,1799,-302
1700,751,-709
2721,899,-1178
3142,2350,-506
2703,2238,-631
2940,2310,-593
2800,2096,-451
2096,1647,-459
1861,835,-561
2446,705,-1149
3156,2427,-453
2444,1987,-332
2202,1706,-366
2178,806,-1033
2390,767,-1086
2660,849,-1383
2728,1754,-746
3127,2570,-476
2039,1373,-259
1784,874,-396
2514,824,-1174
2646,2193,-550
3105,2035,-586
2202,1537,-328
2529,1475,-574
1969,680,-868
2527,1000,-1123
3034,2004,-504
3004,2434,-461
2652,2196,-466
2333,1914,-428
2294,1530,-393
1675,758,-553
1483,733,-373
2203,819,-929
2650,1445,-714
2774,2146,-561
2635,2176,-544
2615,2108,-493
2392,1964,-465
1580,884,-520
