2612,2085,-270
2812,2222,-371
2350,1559,-261
2181,1352,-170
1210,758,-194
1032,318,-108
589,111,77
1490,411,-241
2740,2069,-348
1526,1204,-38
2046,1555,-253
2266,1361,-437
1355,878,-232
1268,587,-117
1367,229,-623
1612,631,-478
2281,1529,-425
2429,1847,-250
2788,2201,-325
2126,1522,-301
1920,1442,-285
1322,721,-297
1328,453,-33
918,156,-388
1104,220,-390
3190,2334,-426
2982,2397,-343
3019,2081,-442
2631,1795,-450
748,178,-359
1187,149,-329
2849,382,-654
2349,1702,-432
2346,1420,-521
603,351,-27
1593,919,-187
1903,1339,-191
2454,1715,-307
2985,1939,-270
2052,1468,-349
1188,794,-179
1132,237,-357
1835,1160,-292
2378,1762,-493
2429,1706,-302
723,165,-73
1318,240,-539
1167,265,-417
2483,1645,-239
2473,1846,-245
1697,1221,-349
1610,982,-145
1169,541,-211
876,304,-218
2513,1692,-200
2375,1687,-467
2516,1640,-538
1160,226,-269
967,213,-208
1183,8,46
1088,155,-305
1211,231,-339
1307,273,-487
1769,1206,-254
2292,1648,-312
2891,2126,-253
2638,2032,-305
2209,1618,-382
1792,1226,-335
1190,171,-458
1043,197,-253
2386,495,-612
2076,1349,-302
3524,2737,-369
2157,1511,-188
1826,1301,-234
1504,1066,-176
1609,1093,-299
980,261,-123
2432,734,-476
2794,1726,-189
2439,1895,-225
2609,2055,-172
2753,2173,-236
1834,1204,-345
1518,906,-317
850,143,-117
1700,939,-125
866,409,-45
869,148,-49
780,127,-114
844,220,-113
834,335,-100
1882,1210,-246
2305,1439,-363
2237,1326,-338
700,99,-57
415,91,8
2422,1425,-396
1886,1144,-355
1394,779,-180
1053,584,-118
457,24,-94
1796,956,-348
1147,633,-243
588,203,12
439,59,-73
1293,910,-82
1657,1070,-120
1552,1060,-150
1497,991,-189
1746,213,-810
1575,959,-313
1698,708,-423
1374,202,-392
1045,79,-497
1734,986,-399
1820,1245,-240
1422,343,-854
1238,305,-657
1434,154,-702
1407,767,-314
2097,1352,-434
1664,802,-627
1557,425,-566
1182,206,-440
1334,109,-421
1917,1263,-273
1961,1185,-448
1801,855,-438
2051,427,-417
1094,126,-697
1577,304,-631
2465,1122,-595
1966,1248,-325
2103,1001,-467
1154,264,-318
1995,220,-648
2042,1139,-224
2187,1186,-316
2735,1869,-225
818,127,-229
1423,307,-561
1695,971,-540
1366,129,-691
1578,195,-522
1799,1172,-272
2072,1504,-276
1089,478,-335
1073,342,-285
1512,88,-782
1960,941,-242
1747,263,-433
1640,395,-553
2139,1280,-444
2320,1462,-413
2521,1470,-372
2293,1258,-586
2876,1556,-426
2196,1026,-524
1134,149,-471
1435,496,-441
2776,1399,-59
2517,1571,-210
1740,1055,-399
1541,807,-387
1057,46,-768
2256,1328,-287
2081,1316,-362
2171,1436,-236
2295,1385,-465
1923,1074,-373
1078,299,-138
1263,160,-651
946,31,-274
2390,1642,-256
2012,1436,-189
2482,1606,-83
660,116,-189
686,75,-52
850,147,-403
2151,1513,-226
2141,1484,-305
1837,926,-425
943,72,-277
988,157,-348
2462,1747,-193
1108,76,-309
1383,165,-702
2066,660,-935
1625,948,-340
2727,1979,-483
2637,1638,-484
2161,1364,-386
2018,1285,-442
1005,272,-282
876,85,-332
930,36,-220
990,326,-320
2207,1608,-204
2417,1579,-371
1204,279,-378
1185,119,-561
1268,166,-424
1738,1235,-265
2581,1523,-771
1107,173,-601
1177,239,-503
1411,562,-533
2562,1784,-247
3002,2071,-453
2300,1468,-493
1404,588,-350
1318,131,-753
1248,195,-524
1909,1053,-143
2259,1432,-438
2972,1667,-281
2017,1262,-476
2367,1351,-636
734,56,-276
2371,1466,-197
1717,1075,-357
1081,451,-223
862,188,-164
1307,165,-526
970,119,-282
1653,404,-431
1200,492,-312
2942,1592,-237
1992,1298,-332
1590,952,-315
899,122,-228
714,73,-408
1023,140,-371
2122,1120,-392
1945,1328,-269
2483,1631,-371
1563,968,-425
1040,322,-294
1061,88,-484
2300,1254,-349
2423,1457,-765
2155,1219,-577
886,71,-441
1121,101,-450
1170,152,-463
1306,518,-297
3042,2034,-225
1333,620,-326
1203,395,-403
1053,132,-376
2701,1822,-251
2040,1457,-337
2260,1421,-426
1075,36,-352
1115,255,-344
1543,671,-253
1914,1165,-246
2607,1749,-424
2070,1428,-384
1532,704,-306
896,128,-295
756,140,-450
883,69,-387
1323,431,-297
2053,1205,-392
2201,1486,-392
2164,1404,-429
2117,1447,-381
927,357,-205
