163,360,165,4191,1712,613,2984
204,392,161,4045,1669,592,2954
252,455,623,2295,1547,671,2885
426,456,497,1346,1521,924,2852
548,617,627,1314,1443,898,2771
472,592,554,1799,1573,997,2902
183,391,173,4253,1681,584,2959
138,402,144,4265,1666,572,2944
206,404,179,3911,1644,594,2959
128,369,175,3405,1493,528,2959
200,373,226,3257,1468,511,2928
142,362,241,2813,1405,546,2880
302,440,482,1887,1598,838,2896
430,511,619,1437,1583,963,2912
339,488,495,2022,1636,905,2944
387,592,382,3401,1519,636,2852
192,483,197,4151,1740,625,2969
175,429,189,4080,1652,567,2994
187,434,166,4096,1666,616,2928
210,480,202,4321,1776,631,2928
147,395,178,3161,1480,582,2954
300,406,498,1642,1597,892,2891
515,519,577,1477,1446,829,2841
507,589,694,1508,1619,1110,2869
186,422,194,4155,1676,614,2954
157,372,122,3853,1617,547,2994
485,642,397,4491,1837,717,2912
508,516,238,3685,1525,621,2902
533,521,580,1508,1577,928,2789
337,382,438,1112,1175,759,2806
382,476,558,1254,1471,913,2852
960,1018,1035,1992,1816,1179,2869
204,353,147,3133,1582,602,2944
190,369,278,2734,1547,630,2938
151,338,299,2392,1479,634,2847
370,374,431,1128,1324,887,2830
487,407,484,1130,1218,938,2614
566,646,733,1412,1431,873,2728
225,560,222,4171,1629,659,2891
200,436,241,4045,1628,643,2917
173,314,159,3202,1484,551,2912
128,345,209,2942,1450,577,2938
318,412,532,2351,1584,723,2912
440,541,604,1464,1633,1071,2896
267,525,234,3616,1630,659,2979
160,360,153,3962,1677,630,2959
356,535,288,4036,1684,674,2938
207,374,257,3025,1413,524,2874
308,368,391,1431,1288,748,2806
321,353,405,1076,1203,861,2771
508,523,596,1376,1613,972,2740
421,563,554,1444,1660,1058,2863
399,509,560,1670,1629,1009,2902
444,663,363,3670,1769,662,2944
214,497,245,3558,1743,643,2923
316,448,406,2587,1579,648,2912
378,376,417,1110,1314,835,2824
337,363,333,906,1065,722,2777
528,658,609,1935,1601,890,2912
346,599,362,3157,1405,526,2923
281,504,229,4249,1729,628,3009
192,445,192,4135,1690,604,2969
595,529,251,2195,455,142,2928
138,374,209,3561,1550,577,2944
176,408,191,3345,1570,593,2969
319,531,434,2961,1604,751,2852
324,347,433,1369,1522,891,2824
336,405,387,1169,1300,859,2759
457,515,609,1417,1491,980,2896
211,500,271,3552,1658,679,2891
219,411,185,4242,1802,610,2964
411,484,263,3880,1687,512,2938
221,387,209,3337,1476,563,2938
162,398,218,3095,1439,557,2912
318,385,355,1012,1163,938,2728
384,433,503,1232,1300,849,2759
393,434,511,1239,1371,935,2824
1269,1345,1089,4773,2376,1188,2928
318,475,242,3788,1719,659,2949
192,376,196,3128,1530,582,2938
198,357,224,2934,1509,606,2902
263,344,430,1068,1264,785,2777
358,389,321,1017,977,632,2765
294,436,384,1667,1174,574,2938
188,445,190,3905,1711,646,2979
206,433,226,3839,1726,641,3009
299,420,437,1928,1556,860,2880
396,422,458,1217,1386,877,2824
212,544,238,3871,1805,718,2933
212,415,245,2809,1629,696,2923
1275,1236,1186,2387,1850,1343,2771
390,413,470,1253,1497,916,2891
408,476,482,1521,1660,1016,2938
164,457,179,3803,1741,615,2954
402,539,258,2973,1647,708,2923
984,1000,1025,2041,1830,1230,2801
351,508,425,2264,1525,844,2933
195,432,189,3360,1614,650,2933
241,471,290,3052,1651,698,2896
264,412,475,2416,1651,798,2917
291,369,392,1104,1196,666,2858
943,1048,991,2813,2027,1321,2812
269,526,223,4034,1799,636,2959
268,502,328,3219,1680,692,2928
225,414,276,2936,1586,624,2912
379,438,452,1433,1609,958,2818
314,424,429,1062,1376,975,2721
227,504,260,3870,1727,638,2955
231,419,230,2918,1191,417,2965
261,478,284,3438,1654,594,2960
179,411,232,3103,1544,610,2939
271,477,322,3289,1615,668,2913
559,690,765,1716,1758,1100,2870
230,467,308,3151,1524,551,2889
328,535,588,2703,1510,576,2916
247,463,260,3527,1560,593,2960
311,509,508,1744,1599,877,2832
327,408,506,1199,1436,938,2813
407,503,599,1282,1470,1003,2893
253,544,326,3851,1728,707,2925
204,464,248,4077,1736,668,2907
180,390,340,3035,1480,619,2898
319,491,490,1517,1398,866,2837
406,482,554,1193,1418,907,2813
307,506,280,4388,1883,767,2938
211,458,274,3488,1559,584,2920
242,423,262,3096,1446,586,2920
248,417,581,2291,1383,638,2880
689,750,755,1959,1662,931,2880
366,490,471,1128,1251,736,2783
522,600,659,1491,1600,1050,2880
391,499,539,1607,1555,1003,2934
409,655,445,3882,1689,765,2947
229,498,304,3979,1659,613,2916
439,579,369,3396,1498,639,2929
348,476,512,1471,1575,1027,2803
427,541,450,1128,1282,931,2747
833,1028,692,4383,1987,854,2929
366,506,544,1369,1553,998,2884
424,544,400,1238,769,413,2842
237,373,294,3238,1523,603,2875
417,475,587,1229,1464,972,2837
484,616,670,1471,1674,1156,2837
636,888,667,2807,1395,714,2902
192,459,275,3929,1714,685,2951
287,483,286,4204,1839,705,2938
289,528,406,3285,1663,672,2907
371,597,414,3360,1844,723,2916
231,437,522,2487,1491,572,2851
425,526,565,1654,1520,908,2828
457,558,540,1098,1226,854,2798
642,849,629,2756,1623,919,2911
569,795,610,3847,1744,779,2847
518,595,642,1450,1494,1021,2870
331,746,489,3745,1742,793,2889
433,630,415,4322,1959,835,2929
334,539,339,3560,1593,595,2947
328,487,359,3340,1522,580,2934
505,705,463,3326,1581,675,2925
371,486,549,1375,1577,1028,2907
317,509,444,1947,1550,897,2893
392,728,495,3672,1826,772,2907
330,505,349,4028,1785,687,2929
783,980,696,4124,1917,803,2916
226,388,276,3197,1518,601,2893
261,517,440,2872,1490,693,2884
390,412,452,937,1117,877,2818
459,657,437,4054,1755,709,2920
229,515,258,3875,1670,690,2956
403,675,414,3849,1676,715,2916
264,467,293,3367,1640,570,2934
244,468,288,3143,1510,599,2929
342,487,444,1160,1330,699,2880
445,387,477,985,1241,867,2737
522,500,579,1204,1128,750,2747
691,724,864,1748,1960,1382,2793
219,496,312,4022,1654,683,2938
243,377,245,3765,1569,616,2934
342,563,409,3653,1507,518,2951
297,314,410,1110,1313,900,2842
279,378,446,1147,1172,800,2832
225,490,288,4035,1594,579,2929
173,417,238,3593,1456,496,2920
210,410,354,3102,1361,523,2856
449,441,575,1167,1366,952,2768
375,478,570,1222,1410,979,2847
245,491,317,4015,1590,637,2920
1483,1310,953,5388,2113,870,2898
393,522,518,1658,1511,883,2856
374,408,542,984,1122,810,2763
598,611,623,1302,1285,878,2788
494,613,642,1580,1647,1069,2856
368,512,506,1978,1520,878,2907
335,644,382,4192,1902,806,2898
185,351,234,3953,1645,624,2943
283,432,252,3794,1590,660,2938
177,382,220,3571,1528,592,2934
228,407,296,3414,1568,616,2916
331,478,488,1487,1438,951,2813
335,472,435,1129,1374,857,2793
396,507,526,1221,1473,898,2851
302,505,442,2180,1471,785,2916
211,457,257,4351,1681,681,2934
461,528,573,1445,1531,937,2893
660,702,661,1309,1118,717,2783
583,639,699,1256,1192,815,2763
475,548,686,1350,1572,1012,2856
441,568,612,1535,1590,1099,2938
222,465,276,3825,1575,564,2964
235,443,290,2917,1530,583,2907
747,798,661,3017,1492,660,2911
467,442,593,1205,1379,931,2837
412,502,525,1541,1549,953,2893
279,478,306,4033,1676,574,2951
368,499,334,3942,1653,588,2977
329,406,286,3220,1451,488,2956
406,533,584,1295,1566,1058,2889
416,548,535,1483,1478,909,2934
426,619,355,3984,1685,711,2943
236,439,240,3430,1562,602,2969
176,413,268,2929,1589,615,2981
383,548,395,3035,1695,737,2851
353,353,388,1032,1437,865,2752
695,847,544,3462,1700,727,2934
222,358,254,2890,1447,606,2889
363,376,457,1165,1422,953,2842
542,599,672,1373,1553,1033,2847
405,449,507,1415,1434,947,2884
569,778,778,2117,1702,1064,2808
277,472,362,2490,1497,763,2929
225,381,237,3377,1618,576,2947
275,524,523,1809,1552,856,2861
353,283,407,1019,1226,924,2721
