3344,1447,-1227
3083,1216,-721
3320,1460,-1031
3524,1511,-1279
3604,849,-1664
3139,818,-844
3328,284,-2080
2994,357,-1576
3179,880,-1563
2745,1151,-1062
3320,1165,-588
3252,1028,-1296
3583,398,-1974
3483,439,-1879
3564,257,-1553
3469,330,-1935
3061,1122,-1371
3012,1601,-823
3271,1577,-923
2928,1083,-1117
3345,1115,-965
4803,560,-1175
3023,228,-1536
2952,344,-1842
2787,903,-1029
3742,613,-903
2748,1277,-779
2666,1006,-961
3191,766,-1324
3285,268,-1714
2896,1143,-762
2920,304,-1330
2580,391,-304
2933,290,-1165
2812,212,-1071
2092,455,-794
3025,701,-732
2353,647,-669
2472,619,-921
887,63,-96
2882,242,-959
2494,213,-1201
2964,221,-928
3121,672,-1279
2198,694,-731
2277,718,-719
2678,409,-1024
2756,169,-1143
2320,215,-767
2710,600,-1063
2156,510,-815
2272,458,-681
2513,242,-983
2477,630,-511
2253,480,-732
2201,196,-781
2290,270,-792
2242,403,-670
2038,422,-547
2254,386,-795
2354,389,-620
2590,288,-1178
2606,195,-904
2603,224,-706
2169,382,-782
2343,426,-780
1673,323,-62
2214,274,-505
2138,270,-304
2377,424,-854
1833,413,-566
2014,475,-601
2084,377,-751
2475,244,-662
1878,497,-471
1978,515,-444
1835,569,-383
2087,600,-619
2004,590,-332
2023,338,-848
2337,221,-950
2017,207,-631
2209,192,-1026
1996,353,-550
2449,484,-1029
1339,269,-145
1984,453,-501
2018,269,-746
2043,238,-323
2584,206,-829
2530,44,-567
2307,331,-659
1965,323,-566
2003,407,-481
1916,496,-393
1519,327,-235
2137,240,-658
2353,236,-410
2362,165,-780
1969,370,-580
1832,465,-444
1820,462,-454
2000,487,-337
2164,427,-528
1902,504,-441
1167,227,53
1680,660,-386
3323,1304,-1554
4285,2431,-1101
4705,1495,-1261
3591,576,-1763
4553,414,-2855
4228,356,-2801
4220,258,-2822
3317,1105,-1798
3837,2715,-631
4390,421,-2598
4348,412,-2760
3394,1250,-1715
2501,1068,-650
3693,2388,-815
3697,1770,-1425
3663,886,-180
3695,1994,-1010
3821,1904,-1273
3152,724,-1798
3673,1962,-876
3915,2494,-678
3884,2140,-847
3994,2237,-1051
3670,2028,-1048
4067,1160,-1667
3539,274,-2396
3869,187,-2805
3519,209,-2524
3260,1986,-872
4669,2695,-739
4128,1535,-1533
3974,1144,-1648
3755,822,-2088
3898,328,-2713
3465,497,-2329
3396,1058,-1737
3889,2361,-750
4150,2303,-1110
4025,1836,-1406
4006,1519,-1634
3838,433,-1933
3581,283,-1757
3386,1374,-1059
2857,834,-333
3775,1772,-1222
3669,245,-1923
3281,231,-1867
3431,261,-2177
3299,532,-1741
3264,894,-1659
3588,1667,-897
3254,1818,-773
3593,2039,-901
2518,1024,-411
3643,1675,-1107
3800,2222,-886
3640,1758,-945
3676,1682,-1347
5131,489,-2529
4254,425,-2360
3951,213,-2659
3567,269,-2285
4135,1649,-636
3697,1909,-958
4025,1695,-1158
4133,1163,-1726
3418,322,-2121
3246,1390,-1408
2940,1479,-827
3253,1844,-563
3132,1855,-727
3718,2096,-831
3876,2107,-1022
3992,1464,-1534
4224,419,-2301
3864,2011,-1001
4200,1229,-1007
3684,1078,-1839
3829,430,-2269
3488,274,-2240
3171,894,-1921
3560,2078,-764
3761,2199,-725
4068,342,-2361
3534,335,-1981
3211,326,-2117
3091,696,-1676
3764,868,-851
3718,1962,-977
3820,1119,-1459
3544,598,-1606
3259,360,-1656
3531,242,-1994
3166,323,-1502
3448,899,-1548
2929,1105,-1244
3172,1633,-809
3810,1714,-1082
3449,1314,-1203
3388,1070,-1523
3246,970,-1641
2709,502,-783
3178,228,-1665
3109,259,-1641
3348,697,-2165
2632,922,-1171
3331,1543,-1003
3160,1468,-723
3096,1212,-1193
3142,802,-1255
3221,316,-1738
2826,1081,-980
3058,1342,-1020
3173,1104,-979
2952,1013,-939
2795,464,-1395
3955,388,-2171
3091,810,-823
3185,1165,-957
2418,798,-878
2817,668,-1311
2875,210,-1387
2726,228,-1452
2956,200,-1299
2573,473,-1246
3054,690,-729
2702,683,-1136
2971,605,-1386
2446,599,-879
3042,142,-1159
3005,257,-1194
2469,213,-540
6159,-167,-1499
2660,436,-998
2562,715,-860
2551,908,-881
2767,745,-1106
2386,610,-1002
2369,238,-845
2344,317,-807
2690,142,-1286
2313,184,-934
2208,506,-713
2202,514,-732
2495,697,-856
1578,241,-94
2637,176,-973
2304,617,-622
2107,483,-718
2188,370,-859
2491,204,-850
2922,120,-1146
2029,416,-526
2377,515,-431
2041,405,-630
2121,429,-754
2682,203,-984
2978,70,-910
2354,219,-1067
2530,278,-1137
2539,348,-1056
1910,310,-657
1976,288,-761
2425,242,-764
2347,155,-731
2685,161,-997
2234,198,-679
2580,199,-1122
2002,261,-688
2430,282,-1093
1916,383,-632
2354,335,-903
1311,126,238
1873,303,-539
2282,192,-605
1593,288,-73
1986,197,-455
2289,281,-507
1839,394,-574
1771,327,-571
3815,178,-513
1845,229,-703
2014,265,-282
2077,119,-344
2156,238,-710
1919,345,-443
1750,598,-446
1549,400,-414
453,-93,78
2119,272,-738
