553,651,624,2140,1322,937,3081
995,1089,1042,2787,1833,1226,2984
855,890,851,2081,1177,842,2891
729,677,628,1774,1062,635,3009
500,546,530,1346,962,606,2923
627,693,645,1153,871,636,2880
707,845,865,1557,1251,1046,2974
619,674,682,2031,1271,841,3004
587,700,667,2096,1288,922,3043
518,545,473,1638,947,642,3019
593,647,612,1686,1177,760,3033
612,636,584,1592,1003,624,2979
411,527,473,1277,878,575,2933
464,507,494,1184,855,612,2928
923,874,899,1090,940,780,2818
660,764,826,1118,1052,893,2974
575,708,673,1843,1221,885,3048
757,816,788,2200,1391,1034,2928
603,763,716,2223,1412,1055,3076
634,737,738,2172,1395,899,3062
877,950,844,2509,1500,1116,3019
533,610,558,1736,1187,866,3033
475,567,518,1325,906,594,2917
656,603,637,989,680,461,2869
665,735,738,1007,1128,962,2852
685,744,785,1007,1102,927,2969
713,846,833,1386,1207,996,2907
584,715,694,2120,1369,939,3048
752,796,696,2334,1379,993,2994
645,706,668,1866,1293,887,3067
697,701,673,1863,1084,704,2954
726,745,788,1032,1156,992,2933
1014,1018,1021,1373,1305,1090,2954
745,905,802,1783,1335,1035,2994
507,584,564,1803,1166,782,3024
429,491,482,1381,867,545,2891
562,632,644,957,785,598,2858
602,571,621,778,851,789,2789
942,1028,1044,1318,1295,1114,2746
1010,1145,1083,2550,1679,1197,2933
633,741,722,2253,1333,970,3014
1366,1332,1253,2405,1535,928,2944
546,578,550,1675,1001,768,2969
497,514,465,1307,925,637,2999
442,472,444,1257,892,597,2959
960,792,832,940,639,559,2759
938,929,927,1099,897,791,2824
708,789,856,1149,1286,1120,2999
674,730,661,2195,1252,915,3062
487,648,583,2176,1291,821,3043
537,615,539,1903,1020,619,3048
664,663,646,1986,1104,813,3004
635,694,708,956,905,787,2765
653,715,779,1252,1182,919,2938
602,772,740,1675,1237,922,2999
765,804,666,2488,1486,984,3009
651,686,621,2111,1207,782,3009
575,629,544,1718,1217,770,3009
421,519,516,1591,1013,740,2964
526,614,528,1407,953,714,2949
482,559,554,1239,849,539,2891
497,503,499,1071,827,617,2852
615,665,754,900,1005,832,2912
803,965,860,1841,1319,1023,2949
702,763,714,2229,1369,897,3081
888,900,864,2276,1195,776,2928
590,654,620,2016,1249,873,3024
557,657,564,1825,1104,623,3028
508,563,532,1169,808,517,2863
710,705,809,1069,1078,849,2847
631,712,776,1000,977,874,2969
774,834,903,1291,1174,1065,2959
552,681,631,2116,1144,837,2989
620,756,787,2192,1372,921,3048
1154,1138,995,2693,1690,989,2964
654,660,726,2025,1311,870,3048
1233,1105,933,2390,1493,941,2984
430,527,509,1677,1079,644,3019
434,508,400,1636,923,556,2969
547,564,555,1462,778,582,2907
498,523,558,1308,796,534,2835
782,797,814,1037,1031,925,2907
675,741,780,1001,1092,1010,2896
795,953,944,1578,1301,1029,2902
623,752,637,2360,1421,905,3024
685,829,670,2534,1404,887,2974
522,611,516,1747,1125,661,3024
524,503,475,1749,1077,695,3024
460,522,485,1825,1078,666,3009
460,495,449,1619,868,635,2969
548,527,508,730,628,400,2783
880,957,953,2144,1371,1026,2949
582,760,771,2188,1346,988,3076
691,772,661,2357,1371,874,3099
639,636,698,1539,1088,678,2917
767,713,786,1053,1189,978,2896
657,755,717,2325,1463,907,3014
494,508,463,1834,1034,586,2984
408,430,502,1145,770,490,2806
740,703,720,966,1053,857,2938
848,939,795,1568,1340,1244,2984
602,825,703,1808,1287,1025,3009
516,649,536,2256,1300,940,3057
545,715,594,2198,1393,1033,3067
511,603,538,1710,1062,695,3004
582,607,538,1815,1051,815,2994
2388,2444,2522,3022,3008,2880,2841
648,723,683,1745,1155,826,3004
489,628,544,2012,1267,823,3004
605,624,526,1941,1080,783,2912
444,449,426,1705,840,534,2974
514,543,532,826,815,573,2874
559,715,630,2290,1329,901,2979
496,569,502,2517,1165,664,3043
955,991,867,2183,1239,812,2891
681,747,665,2441,1419,905,2974
494,574,472,1862,1142,745,3014
487,513,466,1825,1117,764,2974
555,592,608,1325,816,626,2863
544,535,626,985,1020,911,2859
644,625,611,911,699,547,2929
676,781,723,1833,1169,930,3072
561,634,577,1586,1146,821,3039
568,631,606,1548,1084,768,3025
451,522,447,1405,949,636,3039
547,715,626,1837,1125,841,2956
712,734,683,1715,1271,859,2947
719,802,812,2177,1531,1147,3072
555,748,765,2029,1332,1056,3019
388,547,583,1453,977,829,2870
485,570,552,1088,1027,769,2832
766,937,890,1208,1202,1205,2951
656,780,764,2102,1577,1164,2998
1070,1085,1088,2231,1801,1514,2951
598,773,787,2063,1385,1036,2964
493,578,610,1615,1089,961,2951
599,649,626,1258,1053,812,2880
549,660,682,967,806,690,2808
884,811,819,1026,872,756,2875
623,805,799,929,1219,1000,2875
