559,290,60
802,314,29
872,238,126
536,-27,98
9882,-208,-2025
1248,88,-5
1264,347,-99
546,231,29
663,298,21
501,199,79
452,175,20
644,207,4
474,-29,48
609,48,57
873,85,-26
460,171,34
460,199,56
487,204,40
443,203,38
471,208,-27
583,179,91
1456,73,-222
642,56,27
697,278,79
1399,384,-61
651,315,45
453,-52,34
485,-12,45
584,197,33
471,231,35
257,117,4
1947,-242,709
714,25,-13
982,332,-7
905,380,153
636,351,4
957,34,-205
813,118,-19
622,318,68
730,365,101
516,52,-23
895,394,186
540,204,59
408,134,53
424,34,18
912,-58,238
1333,283,-32
990,339,69
589,283,31
726,400,32
500,218,-37
5287,-88,-1451
756,102,-47
778,349,3
594,274,3
558,250,-12
380,39,-23
372,29,9
1839,162,-206
762,308,66
495,265,-27
398,206,-21
444,83,-19
750,64,-10
556,157,-10
435,246,17
453,44,-1
529,180,-21
574,242,-7
528,313,-1
1304,298,-116
503,168,24
2448,220,-967
619,-50,1
726,345,-38
629,316,-26
454,271,-57
706,430,16
897,101,-98
673,253,19
489,300,-22
1003,340,-165
398,-1,-56
1149,230,-176
629,244,-16
967,415,5
3916,2576,-1063
844,-20,-47
807,84,3
3753,2399,-892
3719,2105,-878
2484,747,-777
2177,119,-489
1689,885,-358
3143,1923,-759
2994,409,-111
1258,570,-266
2588,1616,-635
3339,2106,-909
1923,-218,469
1288,568,-232
3382,1999,-938
3849,2432,-1041
3175,1940,-771
857,134,48
860,-22,-1
574,-3,74
1805,526,-289
2617,1522,-639
3723,2164,-886
2405,793,-852
6141,599,-1417
3281,1608,-557
4035,2586,-884
2060,864,-339
472,-50,23
1658,-22,-247
2423,1311,-592
3664,2236,-887
3189,1984,-604
1993,1217,-456
671,-42,8
825,-31,-18
1573,845,-383
3261,1979,-812
2562,1428,-606
1634,140,132
1936,-25,-178
1181,21,-189
802,30,72
975,209,1
3341,1859,-850
3484,1956,-1005
3450,1919,-827
617,-72,-27
632,-27,-53
674,49,36
2190,1172,-472
2620,1253,-170
2849,1682,-645
1225,328,-105
1767,752,-189
2111,1308,-293
2258,1413,-340
2491,1368,-726
2534,1540,-372
1947,776,-333
520,-55,73
443,-36,9
1607,131,-561
659,-60,118
2120,1008,-465
2670,1387,-513
781,122,111
1478,117,-294
599,242,-30
1439,632,-227
1548,717,-472
1815,901,-530
377,-37,27
336,-20,2
635,150,-18
1414,423,120
967,101,242
462,81,64
385,42,13
538,54,2
716,296,20
960,351,117
617,183,27
613,53,81
654,86,94
964,105,-140
1075,338,-45
953,220,74
633,-91,141
914,-67,112
717,-14,-3
780,-10,-40
423,124,7
596,80,-62
767,98,-4
637,43,-33
557,43,37
637,166,56
2695,746,-40
726,196,47
581,17,99
483,-78,-96
1389,431,246
721,226,-37
561,119,53
478,141,82
1959,731,338
692,243,108
595,179,59
544,95,55
1047,25,-257
549,0,-40
1507,42,-361
911,77,-187
1475,303,247
681,253,37
470,89,66
469,19,-100
482,-40,-24
839,99,29
427,145,18
804,216,38
792,267,136
555,201,-37
437,43,77
359,16,-70
597,181,8
389,-20,-69
418,12,-63
580,176,-7
1366,443,153
866,259,-95
888,316,-29
453,129,63
554,72,17
365,-27,-56
653,211,-3
503,161,16
430,104,-31
441,10,11
1240,58,-201
443,59,-53
659,133,96
2719,705,-493
560,180,-67
598,264,9
666,239,59
1591,437,-162
441,78,-22
419,-16,-66
669,222,5
591,185,-5
907,289,62
552,187,-67
584,200,-29
735,238,77
