2274,1971,-271
1953,1742,-209
1317,1038,-187
2241,1072,-522
1840,1515,-231
1372,849,-201
1849,1006,-357
2427,1636,-329
2028,1787,-238
1325,958,-136
1897,1071,-425
2169,1475,-451
2580,1848,-448
2557,2062,-209
2425,2138,-348
1942,1728,-224
1851,1498,-100
2043,935,-358
2115,1745,-260
1614,1003,-291
1818,969,-303
2012,1056,-604
2662,2145,-248
1812,945,-293
1845,1432,-212
1615,966,-158
1570,970,-414
1858,1032,-556
2319,1545,-502
2438,1954,-299
1307,1012,-152
1652,946,-302
1267,846,-181
2505,2107,-355
2191,1898,-317
3257,2453,-31
1798,864,-224
1958,1462,-220
1550,927,-351
1249,842,-157
1088,412,376
2437,1474,-618
2438,1818,-465
2282,1885,-260
1143,821,-192
2041,921,-633
2436,1786,-497
2002,1654,-357
2147,1114,-639
2463,2073,-334
1564,925,-300
1369,786,-68
1992,1067,-579
2473,2094,-357
2128,1776,-366
1651,847,-274
1231,782,-331
1257,724,-277
1918,1003,-607
2510,1924,-531
2583,2158,-374
2234,1873,-322
2235,1772,-357
2243,1646,-396
1429,873,-265
2120,1205,-562
3030,2498,-460
2553,2074,-381
2279,1568,-540
2447,2055,-323
2038,1632,-185
2575,1848,-292
1800,1150,-147
536,174,112
1770,954,-290
1768,1053,-393
2388,1998,-213
1952,1524,-195
1844,1002,-277
1942,1186,-292
3368,1567,-157
1810,872,-222
2114,1070,-420
2703,2066,-250
1771,1078,-297
2387,1741,-365
2607,1970,-112
1851,1387,-221
1355,993,-97
1320,973,-127
1883,1073,-343
2287,1796,-222
2318,1676,-251
1674,1222,-214
1951,1607,-142
1800,1256,-19
1532,1030,-154
2175,757,161
1861,1043,-272
1852,1169,-294
2016,1572,-205
2223,1802,-205
2193,1718,-238
2605,1995,-80
1940,1590,-84
2436,1631,-115
1663,1150,-122
1906,848,-287
2505,1773,-280
1901,1396,-200
1828,1148,-138
2162,834,171
1983,1002,-426
2660,1862,-311
2342,1932,-193
1481,952,-265
1388,948,-71
1862,1109,-386
2497,1930,-199
2406,1818,-253
1873,1454,-246
1499,994,-190
1457,886,-153
1643,917,-265
1729,967,-372
2002,1588,-164
2056,1284,-410
2333,1950,-224
2312,1859,-219
2006,1652,-226
1943,1345,-124
1623,944,-147
2618,1941,-407
2631,2124,-255
5394,1918,-496
1502,1036,-159
1318,932,-133
1843,1026,-409
2511,1365,-440
2420,2012,-252
2166,1668,-287
2570,1829,-456
2240,1831,-157
2150,1715,-219
1857,1393,-129
1448,982,-212
1398,922,-103
2416,1902,-278
1951,1591,-221
1933,1450,-255
1609,947,-223
2023,889,80
1897,1028,-440
2617,1708,-409
2659,2249,-218
2333,1965,-173
2178,1769,-203
2092,1605,-258
1875,1398,-164
1852,1079,-454
2497,1957,-257
2232,1534,-265
1584,1016,-205
1811,904,-520
1691,994,-116
2499,1939,-293
2427,1877,-307
1833,895,-71
1373,783,-233
1469,775,1
1808,896,-183
2458,1880,-331
1746,1057,-282
1205,714,-286
1873,917,-554
2453,1567,-521
2159,1676,-257
1748,1361,-238
1385,781,-336
1986,964,-609
2427,1911,-338
2441,1959,-403
2528,1906,-415
1815,1276,-322
1377,809,-283
2043,869,-190
2371,938,-793
2462,1515,-465
2588,2039,-288
2080,1555,-320
1993,858,-696
2002,938,-513
2724,1515,-507
2400,1790,-486
2244,1770,-354
1910,1446,-300
2314,906,-731
2925,1812,-475
2495,1929,-328
2114,1627,-329
1834,1254,-319
1756,810,-271
1970,869,-680
2036,941,-616
2388,1771,-384
2710,2102,-389
2562,1759,-322
1513,916,-316
1844,840,-479
2578,1950,-389
2237,1775,-279
2906,2013,-394
2842,2090,-194
1860,1337,-192
1937,1190,-266
1819,812,-429
