3456,3012,-717
3105,2683,-649
2572,948,-1250
2331,630,-1249
2932,2398,-632
2714,1091,-1130
3592,651,-485
3378,851,-1957
3097,2797,-575
2607,809,-1499
3365,817,-1818
3611,2989,-723
3733,3339,-701
3546,3134,-638
3117,2758,-671
3030,2613,-589
3497,807,-1868
3239,2749,-726
3151,1631,-856
3111,780,-1660
3424,828,-2016
4319,3291,-805
3305,807,-1911
3269,1364,-1355
4148,3274,-560
3531,3153,-759
2933,2458,-645
3271,806,-1853
3357,864,-1891
3891,3045,-903
3596,3078,-863
3913,3347,-884
3202,1934,-763
2403,688,-1596
3745,3381,-745
2461,690,-1416
3443,782,-1991
3225,2828,-699
2985,2467,-596
2676,1008,-1149
3778,3331,-661
3529,3166,-627
2600,897,-1198
3258,807,-1756
3481,1084,-1902
3884,3397,-731
3312,2975,-663
2669,885,-1571
3298,1878,-1102
3717,3303,-845
1549,411,-868
2862,660,-1168
3064,1016,-1575
3502,3096,-718
3243,2765,-724
3040,1754,-682
3242,1173,-1502
2271,631,-1453
3328,886,-2015
4136,2884,-886
3816,3244,-705
3428,3207,-663
3479,2987,-720
3280,2860,-674
3098,1816,-888
4435,3996,-786
4028,3395,-792
3527,3163,-618
2660,598,-1360
3261,1127,-1570
3740,3152,-685
4032,3692,-742
4012,3220,-697
3194,2202,-703
3106,1094,-1223
3260,636,-1728
3391,707,-1813
3380,829,-1869
3291,2788,-577
3090,2451,-580
2461,527,-1066
6165,480,-2062
3722,828,-2021
3240,1028,-1438
3816,891,-1922
2924,1626,-173
3638,2889,-739
3515,2924,-800
3288,1576,-863
3522,716,-2137
3710,2663,-686
3040,2263,-689
2810,896,-1353
2631,658,-1374
3157,607,-1176
3684,840,-1950
3496,2741,-784
3139,2454,-664
2985,2227,-765
4088,3177,-620
3687,3049,-663
3131,2595,-657
3055,2186,-549
3068,1345,-1225
2718,822,-1332
3169,495,-733
3489,846,-1852
3304,2021,-1034
3681,3099,-758
3413,2864,-774
3364,2779,-746
3781,2862,-689
3160,2577,-710
3749,2660,-603
3251,2028,-595
3356,1096,-1020
3595,618,-1909
3735,3032,-687
3044,2401,-609
3220,2246,-547
3844,865,-2019
3672,3052,-595
3461,2865,-661
3011,986,-1533
2836,677,-1541
3424,2166,-959
4247,2931,-869
3777,3025,-655
3459,2722,-696
3382,2643,-725
3129,2576,-710
3281,1529,-861
2826,783,-1588
3295,657,-1887
3465,781,-1993
3696,3115,-612
3231,2780,-645
3449,3015,-590
3379,2862,-670
3049,2661,-584
3054,2241,-535
3450,1586,-827
4049,3437,-810
4711,2991,-872
3890,2638,-510
3112,1394,-1190
2435,762,-1123
3606,758,-2007
3796,2535,-898
3501,2891,-826
3184,2556,-797
3777,3118,-786
3748,2935,-651
3392,2851,-692
3194,2648,-651
2978,2409,-576
3113,954,-1385
2588,735,-1279
4415,3211,-711
3529,2994,-705
3125,2539,-787
2973,2400,-651
3080,1655,-838
3563,786,-1915
3275,2010,-961
3561,2908,-555
3683,3189,-697
3356,2914,-659
3365,2807,-619
3233,2546,-685
3031,1575,-1103
3714,3079,-677
3505,2694,-495
3414,781,-2057
4309,3193,-909
3754,3129,-825
3268,1242,-1247
3179,647,-1939
3588,2994,-784
3635,2768,-631
3360,2459,-661
2981,2073,-626
2275,584,-1462
3317,761,-1967
3951,3123,-834
3184,2604,-635
2987,2455,-621
2674,686,-1459
3404,821,-1918
3521,2293,-849
3652,2973,-910
3604,2975,-847
3555,2776,-880
3062,2382,-771
3068,2218,-775
2892,1322,-977
3213,686,-1928
3473,1035,-1647
3839,2820,-788
3791,3222,-724
3185,2668,-575
3514,812,-1836
3120,1691,-1121
3729,3110,-786
4233,3279,-661
3417,2912,-662
3155,2632,-643
3926,1271,-1211
3585,838,-1755
4644,3652,-713
3385,2857,-653
3246,2766,-648
2976,2420,-634
3587,1400,-1161
3151,1329,-1366
3750,3130,-750
4150,3495,-831
3758,2947,-662
3098,2093,-721
3274,780,-1682
4076,3295,-844
3761,3079,-836
3633,3074,-803
3129,2478,-671
3312,2444,-693
3424,1610,-847
