1916,2610,3092,3619,4690,4630,3062
1738,2185,2555,2865,3800,3684,2771
1318,1845,2041,1948,2307,2002,2783
794,994,894,675,355,235,2830
933,1072,969,820,535,394,2852
1247,1763,2057,2441,2429,2009,2964
1334,1841,2150,2585,2921,2359,2954
1541,2175,2404,2918,3198,2938,2969
1306,1781,2066,2608,2581,1977,2902
1817,2328,2719,3097,3566,3331,2902
1554,2085,2320,2645,2859,2743,2801
1683,2271,2681,3042,4007,3551,2880
1785,2467,2852,3232,4298,4140,2928
1924,2617,3023,3448,4167,4151,2964
1821,2500,2885,3328,4290,4192,2999
1940,2581,2918,3169,3645,3304,2933
1923,2690,3049,3595,4341,4233,2979
2051,2839,3115,3627,4740,4534,2999
1665,2294,2577,3041,3598,3168,2896
1405,1859,2121,2513,2987,2789,2874
1767,2441,2779,3220,3994,3872,2984
1768,2360,2767,3334,4146,3991,2974
2011,2703,3123,3577,4332,4255,3043
1920,2524,2915,3338,4216,4145,2880
2107,2744,3212,3665,4561,4376,2841
1875,2598,3001,3304,4303,4201,2933
2062,2671,3050,3665,4299,4179,2874
2227,2904,3263,3778,4415,4227,2964
1976,2529,2939,3324,4225,4151,2759
2217,2789,3142,3664,4211,4147,2891
2154,2795,3072,3545,4133,3953,2949
1966,2544,2871,3513,4511,4403,2969
2361,3018,3295,3929,4681,4525,2949
2182,2877,3167,3846,4544,4413,2969
1912,2508,2900,3353,3968,3942,2812
1881,2612,3020,3414,4408,4274,2907
1767,2467,2815,3381,4167,3969,2979
1917,2586,3031,3630,4489,4149,2974
1903,2471,2741,3425,4044,3726,2954
1696,2277,2525,3121,3514,3367,2912
969,1068,830,538,276,184,2777
1053,1437,1531,1403,1837,1595,2863
1308,1802,2049,2227,2398,2274,2912
1521,1983,2234,2785,3919,3733,2959
1820,2357,2779,3239,4202,3980,2923
1786,2382,2690,3081,3869,3612,2885
1626,2167,2534,3047,3640,3544,2938
1843,2445,2914,3442,4294,4034,2969
1766,2402,2761,3125,4094,3987,2959
2012,2714,3123,3604,4318,4331,2994
2168,2845,3152,3593,4301,4111,2896
1949,2618,2939,3305,4301,4147,2812
1770,2269,2496,2864,3249,2945,2964
2318,3032,3280,3874,4766,4645,3004
2402,3046,3349,3957,4823,4771,2989
1977,2672,3133,3568,4441,4596,2830
1624,2293,2631,3254,3757,3543,2949
2208,3017,3307,3867,5145,5034,2969
1500,1997,1949,1837,2408,2148,2896
805,1190,1096,795,497,466,2954
745,1145,972,697,394,385,2979
935,1403,1477,1528,1432,1287,2923
1279,1700,1935,2213,2083,1651,2907
1020,1547,1743,1772,1534,1113,2885
1764,2426,2765,3131,3980,3807,2818
1800,2402,2805,3166,4229,4060,2835
1906,2565,3001,3353,4431,4151,2974
1808,2368,2894,3460,4602,4368,2944
1538,2173,2595,2992,3457,3005,2964
1408,1711,1929,2248,2375,1997,2891
1829,2526,2876,3386,4223,4253,2928
2228,2944,3343,3787,4654,4616,3004
2011,2685,3015,3695,4896,4935,2969
1991,2581,2920,3332,4130,3979,2863
1579,2151,2457,2874,3534,3152,2917
1738,2279,2452,2606,2735,2375,2928
1917,2519,2827,3280,4054,3745,2954
2401,3068,3477,3923,4674,5116,2964
1198,1599,1735,1661,1817,1581,2896
800,1139,928,792,764,570,2928
702,889,651,444,130,58,2917
601,898,822,359,85,101,2912
2110,2859,3284,3836,4531,4477,2945
1462,2051,2333,2483,2823,2186,2939
1825,2442,2728,3025,4279,4145,2980
1928,2619,2956,3357,4314,4295,2975
1795,2487,2837,3446,4249,3952,2856
1903,2644,2917,3637,4302,4363,2934
1977,2661,2906,3742,3823,3906,2916
2025,2680,2894,3601,4287,4712,2964
1474,1997,2149,2807,3414,3050,2960
1828,2538,2817,3515,4214,4087,2847
1484,2073,2344,2930,3251,2886,2880
1730,2487,2747,3377,3900,3624,2929
1438,2073,2300,2695,2908,2730,2938
883,1276,1306,1078,802,599,2818
704,942,917,583,574,600,2788
973,1503,1603,1622,1405,1195,2925
1443,2056,2273,2658,2475,2397,2907
1818,2545,2794,3423,3754,3533,2938
1653,2265,2598,3119,3823,3914,2851
1658,2380,2625,3094,4052,3933,2907
1756,2329,2631,3284,3737,3623,2920
1751,2457,2868,3828,4212,4212,2938
1792,2474,2858,3588,4166,4105,2947
1924,2248,2339,3194,3942,3920,2929
2102,2889,3207,3738,4499,4305,2934
2098,2823,3147,3627,4659,4792,2884
2172,2935,3246,3968,4353,4501,2938
1758,2482,2724,3331,3419,3329,2907
1699,2282,2482,3175,3429,3038,2920
1947,2677,3077,3628,4398,4328,2813
1780,2530,2724,3241,3464,3448,2943
1809,2446,2754,3352,3325,2977,2956
1180,1266,1071,800,319,193,2911
740,1032,929,731,228,301,2884
1404,1928,2010,2379,1926,1805,2907
1668,2227,2481,2926,3310,3212,2832
1755,2416,2727,3328,4014,3934,2884
1707,2394,2735,3417,3768,3835,2907
1840,2390,2761,3502,4336,4305,2934
1670,2387,2648,3298,3993,3803,2956
1703,2326,2695,3311,4125,4238,2951
1508,1988,2231,3302,3750,3618,2943
1761,2443,2834,3296,3853,3938,2907
1702,2446,2703,3325,3919,3884,2916
1515,2092,2361,3252,4180,4121,2938
1933,2432,2617,3453,4263,4454,2951
1968,2733,3028,3687,4459,4611,2916
1799,2473,2804,3385,3955,3819,2902
1771,2392,2678,3221,4005,3993,2803
1887,2527,2705,3342,3651,3460,2851
1590,2212,2474,3172,4083,4049,2916
1763,2451,2733,3398,4108,4049,2969
1672,2375,2720,3299,3873,3855,2969
1843,2666,3078,3717,3870,3896,2960
2121,2863,3176,3786,4287,4377,2943
1258,1759,1975,2097,1916,2135,2752
868,1069,854,623,613,455,2783
776,1071,1077,862,1061,905,2911
1375,1813,2130,2575,3017,2870,2828
1629,2065,2291,2678,2753,2359,2842
1604,2267,2626,3109,2974,2715,2916
2022,2621,2893,3701,4338,4399,2951
1973,2680,2987,3420,4050,3913,2938
2101,2829,3176,3755,4161,4145,2902
1689,2238,2555,2969,3590,3359,2768
1638,2350,2698,3104,3917,4072,2851
2073,2375,2502,3684,4285,4234,2916
1679,2057,2209,3301,4427,4469,2911
2362,3107,3390,3999,4612,4561,2893
1676,2175,2514,3020,3818,3637,2808
1838,2591,3001,3536,4057,4127,2907
1956,2776,3164,3768,4716,4690,2925
1747,2567,2945,3527,3880,3726,2943
1569,2300,2594,3122,3735,3561,2938
777,1028,1151,1207,1008,1067,2911
681,1119,1108,952,724,644,2934
1943,2666,2986,3515,3950,3971,2847
1775,2441,2853,3351,4020,4093,2893
1676,2429,2777,3329,3989,4076,2964
1998,2801,3132,3769,4231,4237,2947
1780,2481,2804,3372,3860,3836,2893
1890,2697,3058,3571,4529,4426,2889
1855,2593,2975,3642,4177,4119,2960
2601,2795,2828,3187,3151,3392,2925
1783,2561,2846,3435,3890,3992,2951
1827,2566,2995,3417,3926,3899,2861
1526,2040,2282,3317,4216,4347,2943
1779,2535,2822,3562,4058,4016,2981
2038,2812,3128,3751,4373,4360,2977
1919,2590,2927,3593,4196,4233,2925
1699,2310,2519,2917,3516,3151,2870
1958,2294,2402,3352,3876,3438,2925
2213,3045,3281,4055,4427,4546,2929
1908,2556,2882,3492,3955,3952,2818
1524,2014,2389,2980,3617,3332,2842
1616,2084,2501,3086,3750,3488,2875
1549,1970,2324,3188,3446,3202,2951
855,1264,1195,1187,1148,909,2842
1234,1735,1966,2751,3021,2511,2920
1430,1929,2275,3030,3413,3187,2969
1518,2156,2430,3049,3615,3362,2977
1395,1893,2224,2777,3173,2675,2916
1706,2390,2755,3396,4155,4183,2818
1720,2261,2616,3531,4042,4009,2943
1974,2855,3074,3675,4174,4308,2960
1680,2252,2573,3130,4059,3779,2773
1755,2291,2597,3243,3972,3608,2893
1948,2537,2827,3682,4417,4326,2943
1871,2639,2727,3449,4083,3926,2911
1601,2266,2461,3035,2916,2375,2925
2355,2995,3249,4047,4646,4871,2960
2293,2947,3278,4141,4727,4775,2898
2157,2842,3083,3515,4058,4239,2889
1841,2389,2775,3381,4180,4157,2828
1859,2370,2613,3401,4255,4460,2951
1633,2306,2517,3177,3781,3511,2902
1730,2477,2827,3291,4285,3578,2798
1231,1604,1931,2226,2646,3028,2902
1030,1472,1544,1627,1683,1526,2929
912,1257,1255,1178,1278,1006,2920
763,1132,877,716,539,563,2929
504,808,620,392,279,168,2956
714,1053,918,799,522,443,2969
895,1271,1272,1098,1364,1201,2907
1660,2365,2673,3193,4023,4053,2742
1817,2699,2982,3538,4153,3943,2956
1724,2333,2751,3490,3957,3865,2956
1667,2353,2718,3393,4169,4120,2951
1306,1896,2146,2624,2855,2883,2934
